date,time,temp,humidity,pressure,rainfall
1/1/2020,0:00,26,74,1015,0
1/1/2020,3:00,25,74,1014,0
1/1/2020,6:00,24,73,1015,0
1/1/2020,9:00,29,75,1016,0
1/1/2020,12:00,34,78,1015,0
1/1/2020,15:00,35,79,1012,0
1/1/2020,18:00,32,77,1013,0
1/1/2020,21:00,29,76,1014,0
1/2/2020,0:00,27,71,1016,0
1/2/2020,3:00,25,70,1015,0
1/2/2020,6:00,24,70,1015,0
1/2/2020,9:00,29,72,1016,0
1/2/2020,12:00,33,75,1014,0
1/2/2020,15:00,35,76,1011,0
1/2/2020,18:00,33,75,1012,0
1/2/2020,21:00,29,73,1014,0
1/3/2020,0:00,27,76,1015,0
1/3/2020,3:00,26,75,1014,0
1/3/2020,6:00,25,75,1014,0
1/3/2020,9:00,29,76,1015,0
1/3/2020,12:00,32,78,1013,0
1/3/2020,15:00,34,80,1010,0
1/3/2020,18:00,32,78,1011,0
1/3/2020,21:00,29,77,1012,0
1/4/2020,0:00,26,70,1014,0
1/4/2020,3:00,25,70,1012,0
1/4/2020,6:00,24,69,1013,0
1/4/2020,9:00,28,71,1014,0
1/4/2020,12:00,32,73,1012,0
1/4/2020,15:00,32,74,1009,0
1/4/2020,18:00,30,72,1010,0
1/4/2020,21:00,27,71,1012,0
1/5/2020,0:00,26,73,1012,0
1/5/2020,3:00,25,73,1011,0
1/5/2020,6:00,24,72,1012,0
1/5/2020,9:00,27,74,1014,0
1/5/2020,12:00,31,76,1012,0
1/5/2020,15:00,33,77,1010,0
1/5/2020,18:00,31,76,1010,0
1/5/2020,21:00,26,73,1012,0
1/6/2020,0:00,25,69,1012,0
1/6/2020,3:00,24,68,1012,0
1/6/2020,6:00,23,68,1013,0
1/6/2020,9:00,27,70,1014,0
1/6/2020,12:00,32,72,1012,0
1/6/2020,15:00,33,73,1010,0
1/6/2020,18:00,30,72,1010,0
1/6/2020,21:00,28,70,1012,0
1/7/2020,0:00,27,72,1012,0
1/7/2020,3:00,25,71,1011,0
1/7/2020,6:00,25,71,1012,0
1/7/2020,9:00,29,73,1012,0
1/7/2020,12:00,33,75,1010,0
1/7/2020,15:00,33,75,1008,0
1/7/2020,18:00,30,74,1009,0
1/7/2020,21:00,28,72,1011,0
1/8/2020,0:00,27,72,1012,0
1/8/2020,3:00,26,71,1011,0
1/8/2020,6:00,25,71,1011,0
1/8/2020,9:00,30,73,1012,0
1/8/2020,12:00,33,75,1010,0
1/8/2020,15:00,34,76,1008,0
1/8/2020,18:00,32,75,1009,0
1/8/2020,21:00,28,72,1010,0
1/9/2020,0:00,27,71,1011,0
1/9/2020,3:00,26,70,1010,0
1/9/2020,6:00,26,70,1011,0
1/9/2020,9:00,29,72,1012,0
1/9/2020,12:00,34,74,1010,0
1/9/2020,15:00,33,74,1007,0.1
1/9/2020,18:00,31,73,1008,0
1/9/2020,21:00,28,72,1009,0
1/10/2020,0:00,26,64,1010,0
1/10/2020,3:00,25,63,1009,0
1/10/2020,6:00,25,63,1010,0
1/10/2020,9:00,28,64,1011,0
1/10/2020,12:00,33,67,1009,0
1/10/2020,15:00,34,68,1007,0
1/10/2020,18:00,31,66,1008,0
1/10/2020,21:00,28,65,1009,0
1/11/2020,0:00,27,56,1010,0
1/11/2020,3:00,24,55,1009,0
1/11/2020,6:00,24,55,1010,0
1/11/2020,9:00,28,56,1011,0
1/11/2020,12:00,32,59,1010,0
1/11/2020,15:00,32,59,1007,0.1
1/11/2020,18:00,31,58,1008,0
1/11/2020,21:00,27,56,1010,0
1/12/2020,0:00,25,54,1010,0
1/12/2020,3:00,24,54,1009,0
1/12/2020,6:00,25,54,1010,0
1/12/2020,9:00,28,55,1012,0
1/12/2020,12:00,31,57,1010,0.1
1/12/2020,15:00,31,57,1007,0.1
1/12/2020,18:00,29,56,1008,0
1/12/2020,21:00,27,55,1010,0
1/13/2020,0:00,25,58,1010,0
1/13/2020,3:00,25,58,1009,0
1/13/2020,6:00,24,57,1010,0
1/13/2020,9:00,29,60,1012,0
1/13/2020,12:00,32,61,1010,0
1/13/2020,15:00,33,62,1007,0
1/13/2020,18:00,30,61,1008,0
1/13/2020,21:00,27,59,1010,0
1/14/2020,0:00,25,61,1011,0
1/14/2020,3:00,24,60,1010,0
1/14/2020,6:00,23,60,1011,0
1/14/2020,9:00,27,62,1013,0
1/14/2020,12:00,32,64,1011,0
1/14/2020,15:00,33,65,1009,0
1/14/2020,18:00,30,64,1009,0
1/14/2020,21:00,27,62,1011,0
1/15/2020,0:00,25,72,1012,0
1/15/2020,3:00,24,71,1011,0
1/15/2020,6:00,23,71,1012,0
1/15/2020,9:00,28,73,1013,0
1/15/2020,12:00,32,75,1012,0
1/15/2020,15:00,34,77,1009,0
1/15/2020,18:00,30,75,1009,0
1/15/2020,21:00,27,73,1011,0
1/16/2020,0:00,26,64,1012,0
1/16/2020,3:00,24,63,1011,0
1/16/2020,6:00,23,63,1012,0
1/16/2020,9:00,28,65,1013,0
1/16/2020,12:00,33,68,1012,0
1/16/2020,15:00,34,69,1009,0
1/16/2020,18:00,31,67,1010,0
1/16/2020,21:00,28,65,1012,0
1/17/2020,0:00,26,60,1013,0
1/17/2020,3:00,25,60,1012,0
1/17/2020,6:00,25,60,1012,0
1/17/2020,9:00,29,62,1014,0
1/17/2020,12:00,34,64,1012,0
1/17/2020,15:00,33,64,1010,0
1/17/2020,18:00,31,63,1011,0
1/17/2020,21:00,28,61,1013,0
1/18/2020,0:00,26,61,1013,0
1/18/2020,3:00,25,61,1012,0
1/18/2020,6:00,24,60,1013,0
1/18/2020,9:00,28,62,1014,0
1/18/2020,12:00,33,65,1012,0
1/18/2020,15:00,32,64,1010,0.1
1/18/2020,18:00,31,64,1010,0
1/18/2020,21:00,27,62,1012,0
1/19/2020,0:00,26,64,1012,0
1/19/2020,3:00,24,63,1011,0
1/19/2020,6:00,24,63,1012,0
1/19/2020,9:00,28,65,1014,0
1/19/2020,12:00,32,67,1012,0
1/19/2020,15:00,33,68,1009,0
1/19/2020,18:00,31,67,1010,0
1/19/2020,21:00,28,65,1012,0
1/20/2020,0:00,25,65,1013,0
1/20/2020,3:00,24,64,1012,0
1/20/2020,6:00,24,64,1013,0
1/20/2020,9:00,28,66,1014,0
1/20/2020,12:00,34,69,1013,0
1/20/2020,15:00,35,70,1010,0
1/20/2020,18:00,31,68,1011,0
1/20/2020,21:00,29,67,1014,0
1/21/2020,0:00,27,64,1015,0
1/21/2020,3:00,25,64,1014,0
1/21/2020,6:00,24,63,1014,0
1/21/2020,9:00,30,66,1015,0
1/21/2020,12:00,34,68,1014,0
1/21/2020,15:00,35,69,1011,0
1/21/2020,18:00,31,67,1012,0
1/21/2020,21:00,28,65,1014,0
1/22/2020,0:00,26,63,1015,0
1/22/2020,3:00,25,63,1013,0
1/22/2020,6:00,25,63,1014,0
1/22/2020,9:00,29,64,1015,0
1/22/2020,12:00,34,67,1013,0
1/22/2020,15:00,34,68,1010,0
1/22/2020,18:00,29,65,1011,0
1/22/2020,21:00,27,64,1012,0
1/23/2020,0:00,26,62,1013,0
1/23/2020,3:00,24,61,1012,0
1/23/2020,6:00,24,61,1013,0
1/23/2020,9:00,28,63,1014,0
1/23/2020,12:00,34,66,1012,0
1/23/2020,15:00,34,67,1009,0
1/23/2020,18:00,30,64,1010,0
1/23/2020,21:00,27,63,1012,0
1/24/2020,0:00,26,63,1013,0
1/24/2020,3:00,25,63,1012,0
1/24/2020,6:00,24,62,1013,0
1/24/2020,9:00,29,65,1014,0
1/24/2020,12:00,35,68,1012,0
1/24/2020,15:00,36,69,1009,0
1/24/2020,18:00,30,66,1010,0
1/24/2020,21:00,27,64,1011,0
1/25/2020,0:00,26,66,1012,0
1/25/2020,3:00,24,65,1011,0
1/25/2020,6:00,24,65,1012,0
1/25/2020,9:00,29,68,1013,0
1/25/2020,12:00,34,70,1011,0
1/25/2020,15:00,34,71,1008,0
1/25/2020,18:00,30,69,1009,0
1/25/2020,21:00,27,67,1011,0
1/26/2020,0:00,24,62,1011,0
1/26/2020,3:00,24,62,1011,0
1/26/2020,6:00,24,62,1011,0
1/26/2020,9:00,29,65,1012,0
1/26/2020,12:00,33,67,1010,0
1/26/2020,15:00,34,68,1007,0
1/26/2020,18:00,30,66,1008,0
1/26/2020,21:00,27,64,1010,0
1/27/2020,0:00,25,53,1011,0
1/27/2020,3:00,24,52,1010,0
1/27/2020,6:00,24,52,1011,0
1/27/2020,9:00,28,54,1012,0.1
1/27/2020,12:00,32,56,1010,0.1
1/27/2020,15:00,32,57,1008,0
1/27/2020,18:00,28,55,1008,0
1/27/2020,21:00,26,53,1011,0
1/28/2020,0:00,24,56,1011,0
1/28/2020,3:00,24,56,1010,0
1/28/2020,6:00,24,56,1011,0
1/28/2020,9:00,28,58,1013,0
1/28/2020,12:00,32,60,1011,0
1/28/2020,15:00,33,61,1009,0
1/28/2020,18:00,29,59,1010,0
1/28/2020,21:00,26,57,1012,0
1/29/2020,0:00,24,57,1013,0
1/29/2020,3:00,23,57,1012,0
1/29/2020,6:00,23,57,1013,0
1/29/2020,9:00,28,59,1014,0
1/29/2020,12:00,33,62,1012,0
1/29/2020,15:00,33,62,1009,0
1/29/2020,18:00,29,60,1010,0
1/29/2020,21:00,27,59,1012,0
1/30/2020,0:00,25,59,1013,0
1/30/2020,3:00,24,58,1012,0
1/30/2020,6:00,23,58,1013,0
1/30/2020,9:00,28,60,1014,0
1/30/2020,12:00,32,62,1012,0
1/30/2020,15:00,32,62,1010,0
1/30/2020,18:00,27,60,1010,0
1/30/2020,21:00,25,59,1012,0
1/31/2020,0:00,26,58,1012,0
1/31/2020,3:00,23,57,1012,0
1/31/2020,6:00,23,57,1013,0
1/31/2020,9:00,27,59,1014,0
1/31/2020,12:00,31,61,1013,0
1/31/2020,15:00,31,61,1010,0.1
1/31/2020,18:00,29,60,1011,0
1/31/2020,21:00,25,58,1013,0
2/1/2020,0:00,24,59,1013,0
2/1/2020,3:00,23,59,1013,0
2/1/2020,6:00,23,59,1014,0
2/1/2020,9:00,27,61,1014,0
2/1/2020,12:00,32,63,1012,0
2/1/2020,15:00,32,64,1010,0
2/1/2020,18:00,29,62,1010,0
2/1/2020,21:00,26,60,1012,0
2/2/2020,0:00,24,63,1014,0
2/2/2020,3:00,23,63,1013,0
2/2/2020,6:00,23,63,1014,0
2/2/2020,9:00,27,64,1016,0
2/2/2020,12:00,32,67,1014,0
2/2/2020,15:00,34,68,1011,0
2/2/2020,18:00,30,66,1011,0
2/2/2020,21:00,26,64,1013,0
2/3/2020,0:00,24,64,1014,0
2/3/2020,3:00,24,64,1013,0
2/3/2020,6:00,23,64,1014,0
2/3/2020,9:00,28,66,1015,0
2/3/2020,12:00,33,69,1014,0
2/3/2020,15:00,33,69,1010,0
2/3/2020,18:00,30,68,1010,0
2/3/2020,21:00,27,66,1012,0
2/4/2020,0:00,25,56,1013,0
2/4/2020,3:00,25,56,1012,0
2/4/2020,6:00,24,55,1013,0
2/4/2020,9:00,28,57,1014,0
2/4/2020,12:00,33,60,1012,0
2/4/2020,15:00,35,61,1010,0
2/4/2020,18:00,30,59,1010,0
2/4/2020,21:00,27,57,1012,0
2/5/2020,0:00,25,57,1013,0
2/5/2020,3:00,23,56,1012,0
2/5/2020,6:00,23,56,1013,0
2/5/2020,9:00,28,58,1014,0
2/5/2020,12:00,33,61,1012,0
2/5/2020,15:00,34,62,1009,0
2/5/2020,18:00,30,59,1010,0
2/5/2020,21:00,27,58,1011,0
2/6/2020,0:00,25,61,1012,0
2/6/2020,3:00,23,60,1012,0
2/6/2020,6:00,22,59,1013,0
2/6/2020,9:00,28,62,1014,0
2/6/2020,12:00,32,64,1012,0
2/6/2020,15:00,33,65,1010,0
2/6/2020,18:00,30,64,1010,0
2/6/2020,21:00,26,61,1012,0
2/7/2020,0:00,25,57,1013,0
2/7/2020,3:00,23,56,1013,0
2/7/2020,6:00,22,55,1014,0
2/7/2020,9:00,27,57,1015,0
2/7/2020,12:00,33,61,1014,0
2/7/2020,15:00,35,62,1011,0
2/7/2020,18:00,31,60,1011,0
2/7/2020,21:00,27,58,1012,0
2/8/2020,0:00,26,52,1013,0
2/8/2020,3:00,24,51,1013,0
2/8/2020,6:00,23,51,1013,0
2/8/2020,9:00,27,53,1014,0
2/8/2020,12:00,33,56,1013,0
2/8/2020,15:00,34,56,1010,0
2/8/2020,18:00,32,56,1010,0
2/8/2020,21:00,28,53,1012,0
2/9/2020,0:00,27,56,1013,0
2/9/2020,3:00,26,55,1012,0
2/9/2020,6:00,25,55,1013,0
2/9/2020,9:00,27,56,1015,0
2/9/2020,12:00,29,57,1014,0
2/9/2020,15:00,28,56,1012,0
2/9/2020,18:00,26,55,1013,0.1
2/9/2020,21:00,25,55,1014,0
2/10/2020,0:00,24,55,1013,0
2/10/2020,3:00,24,55,1012,0
2/10/2020,6:00,24,55,1013,0
2/10/2020,9:00,28,57,1014,0
2/10/2020,12:00,32,59,1013,0
2/10/2020,15:00,31,59,1011,0
2/10/2020,18:00,30,58,1012,0
2/10/2020,21:00,27,57,1014,0
2/11/2020,0:00,26,61,1013,0
2/11/2020,3:00,25,61,1013,0
2/11/2020,6:00,25,61,1014,0
2/11/2020,9:00,29,62,1015,0
2/11/2020,12:00,34,65,1013,0
2/11/2020,15:00,34,65,1011,0
2/11/2020,18:00,30,63,1012,0
2/11/2020,21:00,27,62,1014,0
2/12/2020,0:00,28,66,1014,0
2/12/2020,3:00,26,65,1013,0
2/12/2020,6:00,26,65,1013,0
2/12/2020,9:00,31,68,1015,0
2/12/2020,12:00,34,69,1013,0
2/12/2020,15:00,35,70,1011,0.1
2/12/2020,18:00,32,68,1011,0
2/12/2020,21:00,28,66,1012,0
2/13/2020,0:00,27,69,1013,0
2/13/2020,3:00,25,68,1012,0
2/13/2020,6:00,25,68,1013,0
2/13/2020,9:00,30,70,1014,0
2/13/2020,12:00,35,73,1012,0
2/13/2020,15:00,35,73,1009,0
2/13/2020,18:00,29,70,1009,0
2/13/2020,21:00,28,69,1011,0
2/14/2020,0:00,25,65,1012,0
2/14/2020,3:00,24,64,1011,0
2/14/2020,6:00,24,64,1012,0
2/14/2020,9:00,29,67,1013,0
2/14/2020,12:00,34,69,1011,0
2/14/2020,15:00,33,69,1008,0
2/14/2020,18:00,30,68,1008,0
2/14/2020,21:00,26,65,1011,0
2/15/2020,0:00,25,68,1012,0
2/15/2020,3:00,24,67,1011,0
2/15/2020,6:00,24,67,1012,0
2/15/2020,9:00,29,70,1014,0
2/15/2020,12:00,34,72,1012,0
2/15/2020,15:00,34,73,1009,0
2/15/2020,18:00,30,71,1009,0
2/15/2020,21:00,27,69,1011,0
2/16/2020,0:00,25,66,1012,0
2/16/2020,3:00,25,66,1012,0
2/16/2020,6:00,25,66,1013,0
2/16/2020,9:00,29,68,1014,0
2/16/2020,12:00,34,70,1012,0
2/16/2020,15:00,34,70,1010,0
2/16/2020,18:00,32,69,1011,0
2/16/2020,21:00,28,67,1013,0
2/17/2020,0:00,28,59,1013,0
2/17/2020,3:00,27,59,1013,0
2/17/2020,6:00,26,58,1013,0
2/17/2020,9:00,30,60,1014,0
2/17/2020,12:00,34,62,1013,0.1
2/17/2020,15:00,33,62,1010,0.3
2/17/2020,18:00,30,60,1011,0
2/17/2020,21:00,28,59,1013,0.4
2/18/2020,0:00,28,61,1014,0.3
2/18/2020,3:00,26,60,1013,0
2/18/2020,6:00,25,60,1014,0
2/18/2020,9:00,27,60,1015,0
2/18/2020,12:00,33,64,1013,0
2/18/2020,15:00,34,64,1010,0
2/18/2020,18:00,31,63,1011,0
2/18/2020,21:00,29,62,1013,0
2/20/2020,0:00,26,66,1014,0
2/20/2020,3:00,25,66,1013,0
2/20/2020,6:00,24,65,1014,0
2/20/2020,9:00,28,67,1015,0
2/20/2020,12:00,34,70,1014,0
2/20/2020,15:00,35,71,1011,0
