===== BÁO CÁO HUẤN LUYỆN MÔ HÌNH XGBoost =====
Thời gian chạy: 20250626_104709

--- THÔNG SỐ THỬ NGHIỆM ---
Model: XGBoost
- objective: reg:squarederror
- eval_metric: mae
- eta: 0.01
- max_depth: 5
- subsample: 0.8
- colsample_bytree: 0.9
- lambda: 1.3
- alpha: 1.0
- n_estimators: 2500
- seed: 42
- n_jobs: -1
- tree_method: hist
- early_stopping_rounds: 10
- validation_indicator_col: validation_0
Lookback: 6
Data file: weather.csv

--- KẾT QUẢ HUẤN LUYỆN ---
Total training time: 1.1 seconds
Số cây (boosting rounds) đã chạy: 571
Best score (val_mae): 0.155289

--- KẾT QUẢ ĐÁNH GIÁ TRÊN TẬP TEST (THANG ĐO GỐC) ---
Test MSE: 0.353067
Test MAE: 0.152254
Test RMSE: 0.594194
Test RRSE: 0.950592

--- CÁC FILE ĐÃ LƯU ---
Model đã lưu: xgb_model_20250626_104709.json
Biểu đồ evaluation curve: eval_curve_20250626_104709_xgb_rounds571_lr0.01_lb6.png
Biểu đồ feature importance: feature_importance_20250626_104709_xgb_rounds571_lr0.01_lb6.png
Biểu đồ so sánh thực tế/dự đoán: compare_test_20250626_104709_xgb_rounds571_lr0.01_lb6.png
==================================================

--- LỊCH SỬ MAE TRÊN VALIDATION QUA CÁC EPOCH ---
Epoch 1: val_mae = 0.214889
Epoch 2: val_mae = 0.214144
Epoch 3: val_mae = 0.213426
Epoch 4: val_mae = 0.212719
Epoch 5: val_mae = 0.211996
Epoch 6: val_mae = 0.211344
Epoch 7: val_mae = 0.210673
Epoch 8: val_mae = 0.210001
Epoch 9: val_mae = 0.209356
Epoch 10: val_mae = 0.208746
Epoch 11: val_mae = 0.208138
Epoch 12: val_mae = 0.207528
Epoch 13: val_mae = 0.206896
Epoch 14: val_mae = 0.206411
Epoch 15: val_mae = 0.205837
Epoch 16: val_mae = 0.205273
Epoch 17: val_mae = 0.204755
Epoch 18: val_mae = 0.204192
Epoch 19: val_mae = 0.203627
Epoch 20: val_mae = 0.203176
Epoch 21: val_mae = 0.202748
Epoch 22: val_mae = 0.202234
Epoch 23: val_mae = 0.201711
Epoch 24: val_mae = 0.201167
Epoch 25: val_mae = 0.200672
Epoch 26: val_mae = 0.200180
Epoch 27: val_mae = 0.199689
Epoch 28: val_mae = 0.199220
Epoch 29: val_mae = 0.198740
Epoch 30: val_mae = 0.198273
Epoch 31: val_mae = 0.197918
Epoch 32: val_mae = 0.197457
Epoch 33: val_mae = 0.197119
Epoch 34: val_mae = 0.196670
Epoch 35: val_mae = 0.196208
Epoch 36: val_mae = 0.195773
Epoch 37: val_mae = 0.195346
Epoch 38: val_mae = 0.194923
Epoch 39: val_mae = 0.194557
Epoch 40: val_mae = 0.194125
Epoch 41: val_mae = 0.193726
Epoch 42: val_mae = 0.193334
Epoch 43: val_mae = 0.192958
Epoch 44: val_mae = 0.192559
Epoch 45: val_mae = 0.192261
Epoch 46: val_mae = 0.191905
Epoch 47: val_mae = 0.191520
Epoch 48: val_mae = 0.191168
Epoch 49: val_mae = 0.190810
Epoch 50: val_mae = 0.190408
Epoch 51: val_mae = 0.190017
Epoch 52: val_mae = 0.189613
Epoch 53: val_mae = 0.189316
Epoch 54: val_mae = 0.188939
Epoch 55: val_mae = 0.188598
Epoch 56: val_mae = 0.188242
Epoch 57: val_mae = 0.187911
Epoch 58: val_mae = 0.187580
Epoch 59: val_mae = 0.187235
Epoch 60: val_mae = 0.186921
Epoch 61: val_mae = 0.186670
Epoch 62: val_mae = 0.186351
Epoch 63: val_mae = 0.186028
Epoch 64: val_mae = 0.185742
Epoch 65: val_mae = 0.185459
Epoch 66: val_mae = 0.185127
Epoch 67: val_mae = 0.184865
Epoch 68: val_mae = 0.184553
Epoch 69: val_mae = 0.184266
Epoch 70: val_mae = 0.184006
Epoch 71: val_mae = 0.183722
Epoch 72: val_mae = 0.183510
Epoch 73: val_mae = 0.183218
Epoch 74: val_mae = 0.182982
Epoch 75: val_mae = 0.182714
Epoch 76: val_mae = 0.182422
Epoch 77: val_mae = 0.182201
Epoch 78: val_mae = 0.181946
Epoch 79: val_mae = 0.181696
Epoch 80: val_mae = 0.181431
Epoch 81: val_mae = 0.181195
Epoch 82: val_mae = 0.180954
Epoch 83: val_mae = 0.180684
Epoch 84: val_mae = 0.180464
Epoch 85: val_mae = 0.180189
Epoch 86: val_mae = 0.179941
Epoch 87: val_mae = 0.179727
Epoch 88: val_mae = 0.179504
Epoch 89: val_mae = 0.179272
Epoch 90: val_mae = 0.179071
Epoch 91: val_mae = 0.178858
Epoch 92: val_mae = 0.178657
Epoch 93: val_mae = 0.178478
Epoch 94: val_mae = 0.178223
Epoch 95: val_mae = 0.178006
Epoch 96: val_mae = 0.177777
Epoch 97: val_mae = 0.177580
Epoch 98: val_mae = 0.177383
Epoch 99: val_mae = 0.177175
Epoch 100: val_mae = 0.176964
Epoch 101: val_mae = 0.176770
Epoch 102: val_mae = 0.176560
Epoch 103: val_mae = 0.176359
