===== BÁO CÁO HUẤN LUYỆN MÔ HÌNH XGBoost =====
Thời gian chạy: 20250626_170651

--- THÔNG SỐ THỬ NGHIỆM ---
Model: XGBoost
- objective: reg:squarederror
- eval_metric: mae
- eta: 0.01
- max_depth: 8
- subsample: 0.9
- colsample_bytree: 0.8
- lambda: 1
- alpha: 1
- n_estimators: 1000
- seed: 42
- n_jobs: -1
- tree_method: hist
- early_stopping_rounds: 100
- validation_indicator_col: validation_0
Lookback: 6
Data file: weather.csv

--- KẾT QUẢ HUẤN LUYỆN ---
Total training time: 2.4 seconds
Số cây (boosting rounds) đã chạy: 497
Best score (val_mae): 0.156180

--- KẾT QUẢ ĐÁNH GIÁ TRÊN TẬP TEST (THANG ĐO GỐC) ---
Test MSE: 0.354350
Test MAE: 0.152796
Test RMSE: 0.595273
Test RRSE: 0.952317

--- CÁC FILE ĐÃ LƯU ---
Model đã lưu: xgb_model_20250626_170651.json
Biểu đồ evaluation curve: eval_curve_20250626_170651_xgb_rounds497_lr0.01_lb6.png
Biểu đồ feature importance: feature_importance_20250626_170651_xgb_rounds497_lr0.01_lb6.png
Biểu đồ so sánh thực tế/dự đoán: compare_test_20250626_170651_xgb_rounds497_lr0.01_lb6.png
==================================================

--- LỊCH SỬ MAE TRÊN VALIDATION QUA CÁC EPOCH ---
Epoch 1: val_mae = 0.214791
Epoch 2: val_mae = 0.214118
Epoch 3: val_mae = 0.213382
Epoch 4: val_mae = 0.212630
Epoch 5: val_mae = 0.211953
Epoch 6: val_mae = 0.211236
Epoch 7: val_mae = 0.210636
Epoch 8: val_mae = 0.210054
Epoch 9: val_mae = 0.209360
Epoch 10: val_mae = 0.208698
Epoch 11: val_mae = 0.208167
Epoch 12: val_mae = 0.207509
Epoch 13: val_mae = 0.206832
Epoch 14: val_mae = 0.206269
Epoch 15: val_mae = 0.205634
Epoch 16: val_mae = 0.205053
Epoch 17: val_mae = 0.204514
Epoch 18: val_mae = 0.204077
Epoch 19: val_mae = 0.203490
Epoch 20: val_mae = 0.203020
Epoch 21: val_mae = 0.202534
Epoch 22: val_mae = 0.202000
Epoch 23: val_mae = 0.201464
Epoch 24: val_mae = 0.200901
Epoch 25: val_mae = 0.200389
Epoch 26: val_mae = 0.199830
Epoch 27: val_mae = 0.199271
Epoch 28: val_mae = 0.198776
Epoch 29: val_mae = 0.198226
Epoch 30: val_mae = 0.197701
Epoch 31: val_mae = 0.197285
Epoch 32: val_mae = 0.196776
Epoch 33: val_mae = 0.196396
Epoch 34: val_mae = 0.195913
Epoch 35: val_mae = 0.195437
Epoch 36: val_mae = 0.195010
Epoch 37: val_mae = 0.194558
Epoch 38: val_mae = 0.194186
Epoch 39: val_mae = 0.193814
Epoch 40: val_mae = 0.193366
Epoch 41: val_mae = 0.192892
Epoch 42: val_mae = 0.192460
Epoch 43: val_mae = 0.192046
Epoch 44: val_mae = 0.191634
Epoch 45: val_mae = 0.191268
Epoch 46: val_mae = 0.190864
Epoch 47: val_mae = 0.190429
Epoch 48: val_mae = 0.190038
Epoch 49: val_mae = 0.189658
Epoch 50: val_mae = 0.189280
Epoch 51: val_mae = 0.188962
Epoch 52: val_mae = 0.188585
Epoch 53: val_mae = 0.188314
Epoch 54: val_mae = 0.187930
Epoch 55: val_mae = 0.187569
Epoch 56: val_mae = 0.187195
Epoch 57: val_mae = 0.186840
Epoch 58: val_mae = 0.186491
Epoch 59: val_mae = 0.186146
Epoch 60: val_mae = 0.185867
Epoch 61: val_mae = 0.185591
Epoch 62: val_mae = 0.185261
Epoch 63: val_mae = 0.184945
Epoch 64: val_mae = 0.184591
Epoch 65: val_mae = 0.184272
Epoch 66: val_mae = 0.183937
Epoch 67: val_mae = 0.183612
Epoch 68: val_mae = 0.183319
